time,speed,y4,y6,y8,y10,eps4,eps6,eps8,eps10,sigma_y4,sigma_y6,sigma_y8,sigma_y10,sigma_eps4,sigma_eps6,sigma_eps8,sigma_eps10,K4,K6,K8,K10,delta_f,L
0.02,0,-0.008538426858313,-0.008513483259449,-0.008488539660755,-0.008463596064188,1.24718001293189E-05,1.24718001293189E-05,1.24718001293189E-05,1.24718001293189E-05,0.0010086709,0.0010080993,0.001017684,0.0010251033,0.0010020621,0.0010232218,0.0010051072,0.0010131184,0,0,0,0,0,8
0.04,0,-0.008538426858313,-0.008513483259449,-0.008488539660755,-0.008463596064188,1.24718001293189E-05,1.24718001293189E-05,1.24718001293189E-05,1.24718001293189E-05,0.0010083688,0.0010079724,0.0010173215,0.0010238128,0.0010019924,0.0010229849,0.0010048851,0.0010126577,0,0,0,0,0,8
0.06,2.13216052922352E-06,-0.008538903550128,-0.008513959878111,-0.008489016207244,-0.008464072536013,1.2471835736735E-05,1.2471835736735E-05,1.2471835736735E-05,1.2471835736735E-05,0.0010083688,0.0010079724,0.0010173215,0.0010238128,0.0010019924,0.0010229849,0.0010048851,0.0010126577,0,0,0,0,0,8
0.08,3.8029912717682E-06,-0.008540332591932,-0.008515388185191,-0.008490443779829,-0.008465499372236,1.24722007068882E-05,1.24722007068882E-05,1.24722007068882E-05,1.24722007068882E-05,0.0010091269,0.0010087347,0.0010183144,0.0010267675,0.0010021552,0.001024175,0.0010054066,0.0010136643,0,0,0,0,-0.00109169269116,8
0.1,5.22908220502112E-06,-0.008542714383509,-0.008517768779766,-0.008492823175647,-0.008467877571371,1.24727970985434E-05,1.24727970985434E-05,1.24727970985434E-05,1.24727970985434E-05,0.0010087093,0.0010079135,0.001017567,0.0010246575,0.0010020533,0.0010229767,0.0010050416,0.001013101,0,0,0,0,-0.001701626790697,8
0.12,6.09312983751361E-06,-0.008545095459039,-0.008520148301072,-0.008495201141391,-0.008470253983413,1.24735803756045E-05,1.24735803756045E-05,1.24735803756045E-05,1.24735803756045E-05,0.0010091319,0.0010083172,0.0010182406,0.0010256517,0.0010021263,0.0010241034,0.0010053113,0.001013712,0,0,0,0,-0.001692938357678,8
0.14,6.64248800681826E-06,-0.008548429699503,-0.008523480730712,-0.008498531761761,-0.008473582793323,1.24744793034324E-05,1.24744793034324E-05,1.24744793034324E-05,1.24744793034324E-05,0.0010086544,0.001007913,0.0010178338,0.0010249431,0.0010020825,0.0010230716,0.0010051099,0.0010131625,0,0,0,0,-0.002102318894465,8
0.16,6.98716763199244E-06,-0.00855176360133,-0.008526812653432,-0.008501861706681,-0.008476910758366,1.24754760585525E-05,1.24754760585525E-05,1.24754760585525E-05,1.24754760585525E-05,0.0010084262,0.0010078399,0.0010173124,0.0010241296,0.0010020087,0.0010227617,0.0010049372,0.0010127415,0,0,0,0,-0.002341359891482,8
0.18,7.23788877918665E-06,-0.008555574122398,-0.008530621086366,-0.008505668050751,-0.00848071501481,1.24765172266259E-05,1.24765172266259E-05,1.24765172266259E-05,1.24765172266259E-05,0.0010085306,0.0010081171,0.0010173084,0.0010249716,0.0010020382,0.001022863,0.0010050569,0.0010128571,0,0,0,0,-0.002482881590873,8
0.2,7.20465411533938E-06,-0.008559384501119,-0.008534429306261,-0.008509474110896,-0.008484518915922,1.24775938988047E-05,1.24775938988047E-05,1.24775938988047E-05,1.24775938988047E-05,0.0010084452,0.0010079715,0.0010173442,0.0010242823,0.0010020413,0.0010228924,0.0010049081,0.0010127139,0,0,0,0,-0.002474069703823,8
0.22,7.07549059423927E-06,-0.00856367169907,-0.008538714336066,-0.008513756971231,-0.008488799608638,1.24786793750497E-05,1.24786793750497E-05,1.24786793750497E-05,1.24786793750497E-05,0.0010083289,0.0010077329,0.0010172545,0.0010227547,0.0010019469,0.0010230832,0.00100478,0.001012558,0,0,0,0,-0.002826405233345,8
0.24,6.89245597331144E-06,-0.008567005240339,-0.008542045718208,-0.008517086195997,-0.008492126672491,1.24797558606925E-05,1.24797558606925E-05,1.24797558606925E-05,1.24797558606925E-05,0.0010089224,0.0010087881,0.0010181247,0.0010265148,0.0010020756,0.0010241953,0.0010052858,0.0010135171,0,0,0,0,-0.002990615877822,8
0.26,6.66026709492655E-06,-0.008570815714431,-0.008545854080057,-0.008520892446969,-0.008495930812865,1.24808144626252E-05,1.24808144626252E-05,1.24808144626252E-05,1.24808144626252E-05,0.0010086398,0.0010079833,0.0010173959,0.0010239247,0.0010019979,0.0010231044,0.0010049338,0.0010128606,0,0,0,0,-0.002890073094256,8
0.28,6.31531076065873E-06,-0.0085736725827,-0.008548708871405,-0.00852374516014,-0.008498781449304,1.24818551853982E-05,1.24818551853982E-05,1.24818551853982E-05,1.24818551853982E-05,0.0010087825,0.0010081287,0.0010179309,0.0010250018,0.0010020434,0.0010235944,0.001005109,0.0010132717,0,0,0,0,-0.002224817721477,8
0.3,5.964809113675E-06,-0.008577006441995,-0.008552040729084,-0.008527075019107,-0.008502109308009,1.2482860245537E-05,1.2482860245537E-05,1.2482860245537E-05,1.2482860245537E-05,0.00100867,0.0010080029,0.0010179327,0.0010246768,0.0010020672,0.001023464,0.0010050941,0.0010131588,0,0,0,0,-0.002623289786105,8
0.32,5.62429086524643E-06,-0.008579863644594,-0.008554896023186,-0.008529928401853,-0.008504960778065,1.24838118650649E-05,1.24838118650649E-05,1.24838118650649E-05,1.24838118650649E-05,0.001008239,0.0010078881,0.0010170138,0.0010236026,0.0010019261,0.001022648,0.0010048657,0.0010124195,0,0,0,0,-0.002469061850781,8
0.34,5.33854749774804E-06,-0.00858319786004,-0.008558228415711,-0.008533258970531,-0.008508289527701,1.24847278415128E-05,1.24847278415128E-05,1.24847278415128E-05,1.24847278415128E-05,0.001008545,0.0010080608,0.0010175405,0.0010248921,0.0010020329,0.0010230093,0.0010050638,0.0010129579,0,0,0,0,-0.002096187439065,8
0.36,4.9950915322376E-06,-0.008585578603703,-0.008560607438538,-0.008535636273206,-0.008510665107367,1.24855815066306E-05,1.24855815066306E-05,1.24855815066306E-05,1.24855815066306E-05,0.0010084093,0.0010078877,0.0010174168,0.0010237402,0.0010020165,0.0010231587,0.0010048936,0.0010127502,0,0,0,0,-0.002133528443357,8
0.38,4.64012653135906E-06,-0.00858795954848,-0.008562986762396,-0.008538013975856,-0.00851304119003,1.2486390656141E-05,1.2486390656141E-05,1.2486390656141E-05,1.2486390656141E-05,0.0010081936,0.0010077243,0.0010170398,0.001023176,0.0010019321,0.0010226403,0.0010047558,0.0010124778,0,0,0,0,-0.002649928264593,8
0.4,4.28088345458481E-06,-0.008590340688827,-0.008565366380967,-0.008540392072323,-0.008515417762232,1.24871552986975E-05,1.24871552986975E-05,1.24871552986975E-05,1.24871552986975E-05,0.0010090381,0.0010087343,0.0010182104,0.0010265257,0.001002134,0.001024185,0.0010053331,0.0010135532,0,0,0,0,-0.002581122838571,8
0.42,4.00356873577198E-06,-0.008592245192614,-0.008567269462596,-0.008542293731461,-0.008517317999246,1.2487866552065E-05,1.2487866552065E-05,1.2487866552065E-05,1.2487866552065E-05,0.0010083243,0.0010078101,0.0010170782,0.0010236584,0.001001956,0.0010224405,0.0010047767,0.0010125362,0,0,0,0,-0.002472976822744,8
0.44,3.58134808758995E-06,-0.008594149867573,-0.008569172799753,-0.008544195731603,-0.0085192186647,1.24885333153079E-05,1.24885333153079E-05,1.24885333153079E-05,1.24885333153079E-05,0.0010086822,0.0010081959,0.0010177997,0.0010249553,0.001002031,0.001023572,0.0010050763,0.0010131883,0,0,0,0,-0.00232968267619,8
0.46,0,-0.008594149867573,-0.008569172799753,-0.008544195731603,-0.0085192186647,1.24885333153079E-05,1.24885333153079E-05,1.24885333153079E-05,1.24885333153079E-05,0.001008559,0.0010081583,0.0010176408,0.0010247726,0.0010020233,0.0010232417,0.0010050713,0.0010129396,0,0,0,0,-0.002633162410673,8
0.48,8.34493925598657E-07,-0.008595102181217,-0.008570124433403,-0.008545146685588,-0.008520168940067,1.2488880018126E-05,1.2488880018126E-05,1.2488880018126E-05,1.2488880018126E-05,0.0010081478,0.0010077595,0.001017056,0.0010235787,0.0010019518,0.0010224503,0.0010048079,0.0010123891,0,0,0,0,-0.002558966822351,8
0.5,1.0688077289344E-06,-0.008595579018168,-0.008570601270127,-0.008545623521846,-0.008520645774229,1.2488880018126E-05,1.2488880018126E-05,1.2488880018126E-05,1.2488880018126E-05,0.0010084742,0.0010078087,0.0010174394,0.0010241198,0.0010020118,0.0010230135,0.0010049931,0.0010129501,0,0,0,0,-0.002066372437151,8
0.52,1.31556387916053E-06,-0.008597008180377,-0.008572029757502,-0.008547051334616,-0.008522072910538,1.24892178218708E-05,1.24892178218708E-05,1.24892178218708E-05,1.24892178218708E-05,0.0010081106,0.0010076796,0.0010172176,0.0010232339,0.0010019533,0.0010228434,0.0010047541,0.0010125848,0,0,0,0,-0.00252320270152,8
0.54,1.4615149809881E-06,-0.008597484090121,-0.008572505202834,-0.008547526316428,-0.008522547432721,1.24894489454844E-05,1.24894489454844E-05,1.24894489454844E-05,1.24894489454844E-05,0.001008007,0.0010075896,0.0010169268,0.0010226701,0.0010019037,0.0010225498,0.0010046724,0.0010123732,0,0,0,0,-0.002630958158857,8
